Model,R2 Mean,R2 Std
RandomForest,0.05891596138474513,0.01702530972012606
XGBoost,0.047045172467414666,0.007439191378903645
BayesianRidge,0.03469523914978205,0.009275138325113872
LinearSVR,0.01562575821227654,0.008755407700345256
LassoCV,-0.0008550797470356031,0.0005304417601118153
